,,,,,,RESULTS,,,,,Page 1 of 15,
Branch: COMPUTER SCIENCE AND ENGINEERING,,,,,,Course/Sem:,B.Tech VI SEM Regular Examinations,,(R16),,Held in:,April 2024
Roll No,SGPA,CGPA,,,,,,,,,,
,,,OOAD,DAA,CD,CC,UML L,CD L,SSA L,IIOT,,
,,,OBJECT,DESIGN AND,COMPILER,CLOUD,UNIFIED,COMPILER,SOFT SKILLS,INTRODUCTION,,
,,,ORIENTED,ANALYSIS OF,DESIGN,COMPUTING,MODELING,DESIGN LAB,AND APTITUDE,TO INTERNET OF,,
,,,ANALYSIS AND,ALGORITHMS,,,LANGUAGE LAB,,LAB,THINGS,,
,,,Grade,Grade,Grade,Grade,Grade,Grade,Grade,Grade,,
18A21A0573,8.35,,C,B,B,B,S,S,S,B,,
"Note: In case of any deviation, the concern students may contact the COE immediately",,,,,,,,,,,,
"Letter Grade Indicates Grade Points (S - 10.00,",,,"A - 9.00,","B - 8.00,","C - 7.00,","D - 6.00,","E - 5.00,",F - 0.),,,,
,,,,,,,,Controller of Examination,,,Principal,
,,,,,,RESULTS,,,,,,Page 2 of 15,,
Branch: COMPUTER SCIENCE AND ENGINEERING,,,,,Course/Sem:,B.Tech VI SEM Regular Examinations,,,(R20),,,Held in:,April 2024,
Roll No,SGPA,CGPA,,,,,,,,,,,,
,,,CD,OOAD,ML,AITT,AWSCP,ML L,OOAD L,CD L,WDD,CSP,FSD,
,,,COMPILER,OBJECT,MACHINE,ARTIFICIAL,AWS CLOUD,MACHINE,OBJECT,COMPILER,WEB DESIGN,COMMUNITY,FULL STACK,
,,,DESIGN,ORIENTED,LEARNING,INTELLIGENCE,PRACTITIONER,LEARNING LAB,ORIENTED,DESIGN LAB,AND,SERVICE,DEVELOPMENT,
,,,,ANALYSIS AND,,TOOLS AND,,,ANALYSIS AND,,DEVELOPMENT,PROJECT,,
,,,Grade,Grade,Grade,Grade,Grade,Grade,Grade,Grade,Grade,Grade,Grade,
21A21A0501,7.27,,E,C,E,E,,A,A,A,A,A+,C,
21A21A0502,7.02,,E,C,E,E,,A,B,A,A+,A,D,
21A21A0503,9.29,9.24,A,A,A,B,,A+,A+,A+,A+,A+,A,
21A21A0504,8.82,7.54,B,B,A,B,,A,A,A+,A+,A+,B,
21A21A0505,9.59,9.21,A,A,A+,A,A+,A+,A,A+,A+,A+,,
21A21A0507,9.29,9.44,B,A,A+,B,,A+,A+,A+,A+,A+,A,
21A21A0508,8.53,,C,B,B,C,B,A+,A,A+,A+,A+,,
21A21A0509,9.06,8.41,B,A,A,C,,A+,A+,A+,A+,A+,A,
21A21A0510,8.39,7.71,C,C,A,B,,A,A+,A,A,A+,C,
21A21A0511,,,F,F,D,F,F,A,B,A,B,A,,
21A21A0512,9.16,9.12,A,A,A,B,A,A,A+,A+,A,A+,,
21A21A0513,9.41,9.5,A,A,A,A+,,A+,A+,A+,A+,A+,B,
21A21A0514,8.39,7.63,C,A,B,C,,A,A+,A,A,A+,C,
21A21A0515,8.39,7.83,C,C,B,B,B,A,A,A+,A,A+,,
