Student_id,COMPILER DESIGN,OBJECT ORIENTED ANALYSIS AND DESIGN,MACHINE LEARNING,"ARTIFICIAL INTELLIGENCE TOOLS AND TECHNIQUES
","AWS CLOUD PRACTITIONER
",MACHINE LEARNING LAB,OBJECT ORIENTED ANALYSIS AND DESIGN,COMPILER DESIGN LAB,WEB DESIGN AND DEVELOPMENT,COMMUNITY SERVICE PROJECT,FULL STACK DEVELOPMENT,SGPA,CGPA
21A21A0501,E,C,E,E,,A,A,A,A,A+,C,7.27,
21A21A0502,E,C,E,E,,A,B,A,A+,A,D,7.02,
21A21A0503,A,A,A,B,,A+,A+,A+,A+,A+,A,9.29,9.24
21A21A0504,B,B,A,B,,A,A,A+,A+,A+,B,8.82,7.54
21A21A0505,A,A,A+,A,A+,A+,A,A+,A+,A+,,9.59,9.21
21A21A0507,B,A,A+,B,,A+,A+,A+,A+,A+,A,9.29,9.44
21A21A0508,C,B,B,C,B,A+,A,A+,A+,A+,,8.53,
21A21A0509,B,A,A,C,,A+,A+,A+,A+,A+,A,9.06,8.41
21A21A0510,C,C,A,B,,A,A+,A,A,A+,C,8.39,7.71
21A21A0511,F,F,D,F,F,A,B,A,B,A,,,
21A21A0512,A,A,A,B,A,A,A+,A+,A,A+,,9.16,9.12
21A21A0513,A,A,A,A+,,A+,A+,A+,A+,A+,B,9.41,9.5
21A21A0514,C,A,B,C,,A,A+,A,A,A+,C,8.39,7.63
21A21A0515,C,C,B,B,B,A,A,A+,A,A+,,8.39,7.83
21A21A0516,A+,B,A,A+,,A+,A+,A+,A+,A+,A,9.53,9.37
21A21A0517,D,D,D,D,,B,B,A,A,A+,D,7.27,
21A21A0518,B,C,B,B,,A,A,A+,A+,A+,C,8.47,7.87
21A21A0519,A,B,A,A,,A+,A+,A+,A+,A+,B,9.18,9.28
21A21A0520,B,C,B,B,,A,A,A,A,A+,B,8.45,
21A21A0522,C,C,B,B,,A,A+,A+,A+,A+,B,8.53,8.05
21A21A0523,F,E,F,F,,B,B,B,A,A+,F,,
21A21A0524,F,E,D,F,,B,C,A,A,A,E,,
21A21A0525,C,C,B,B,,A+,A+,A+,A,A+,A,8.63,8.89
21A21A0526,A,C,A+,B,,A+,A+,A+,A+,A+,A,9.18,9.31
21A21A0527,C,C,A,D,,A,A+,A,A,A+,A,8.39,7.85
21A21A0528,C,D,B,C,,B,A,A,A,A+,B,8.04,7.64
21A21A0529,C,D,B,C,,A,A+,A+,A+,A+,C,8.18,7.93
21A21A0530,C,B,A,A,,A,A+,A,A,A+,A,8.86,8.21
21A21A0531,C,B,C,C,,A,A+,A,A,A+,B,8.27,7.38
21A21A0532,D,D,C,B,,A,A,A,A,A+,C,7.86,7.43
21A21A0533,A,B,A,B,,A+,A+,A+,A+,A+,A,9.18,9.29
21A21A0534,C,B,A,A,A+,A,A,A+,A,A+,,8.98,8.58
21A21A0535,B,A,A,A,A+,A+,A+,A+,A+,A+,,9.41,9.4
21A21A0536,B,A,B,A,,A+,A+,A+,A+,A+,B,9.06,8.8
21A21A0537,A,A,B,C,,A+,A+,A+,A+,A+,B,8.94,9.35
21A21A0538,D,B,B,D,,A,A,A,A,A+,C,7.98,
21A21A0540,C,C,B,B,B,A,A,A+,A,A+,,8.39,
21A21A0542,F,B,D,E,,A,B,A,A,A+,D,,
21A21A0543,F,D,B,C,C,A,A,A,A,A+,,,
21A21A0544,F,D,D,E,,A,A,A,A,A+,F,,
21A21A0545,B,B,A,C,,A,A+,A+,A+,A+,B,8.76,8.84
21A21A0546,A,A+,A+,A,,A+,A+,A+,A+,A+,B,9.53,9.04
21A21A0547,B,A,A,A,,A,A,A+,A+,A+,B,9.06,8.69
21A21A0548,B,B,C,A,,A,A,A+,A+,A+,A,8.82,8.29
21A21A0549,D,B,A,A,,A,A,A+,A,A+,B,8.63,7.95
21A21A0550,C,B,A,B,,A,A+,A+,A+,A+,A,8.88,8.55
21A21A0551,C,B,C,C,,A,A,A+,B,A+,B,8.2,7.33
21A21A0552,D,D,C,E,,B,A,A,B,A+,C,7.37,
21A21A0553,B,B,A,B,,A,A,A+,A+,A+,B,8.82,8.45
21A21A0555,B,C,B,A,B,A,A,A+,A+,A+,,8.71,8.53
21A21A0556,C,B,B,A,,A+,A+,A+,A+,A+,A,8.94,8.34
21A21A0557,B,B,B,A,A,A,A,A+,A+,A+,,8.94,8.6
21A21A0558,A,A,A,A,,A+,A+,A+,A+,A+,A,9.41,9.07
21A21A0559,C,D,B,C,,A,A,A,A,A+,A,8.22,7.71
21A21A0560,A,C,A,A,,A+,A+,A+,A+,A+,B,9.06,8.7
21A21A0561,B,B,A,A+,A+,A+,A+,A+,A+,A+,,9.41,9.04
21A21A0562,A,B,A+,A,,A+,A+,A+,A+,A+,A,9.41,9.43
21A21A0563,B,D,A,C,,A,A+,A+,A+,A+,B,8.53,8.61
21A21A0564,A,C,A,B,A,A+,A+,A+,A+,A+,,9.06,9.03
21A21A0565,C,D,B,C,,A,A,A,A,A+,C,7.98,
21A21A0566,C,D,B,B,,A,A,A,A,A+,B,8.22,8.1
21A21A0568,A+,B,A+,A+,A+,A+,A+,A+,A+,A+,,9.76,9.62
21A21A0569,D,C,B,D,C,A+,A+,A+,A+,A+,,8.12,7.76
21A21A0571,D,E,B,F,E,A+,A+,A+,A+,A+,,,
21A21A0572,D,C,C,D,C,A+,B,A,A+,A+,,7.82,
21A21A0573,D,E,C,E,E,A+,A,A+,A+,A+,,7.35,7.02
21A21A0574,C,B,C,E,D,A+,A,A,A+,A+,,7.88,7.18
21A21A0575,C,D,C,D,D,A+,A+,A+,A+,A+,,7.88,
21A21A0576,A,C,B,F,D,A+,A+,A+,A+,A+,,,
21A21A0577,A+,A+,A+,A,A,A+,A+,A+,A+,A+,,9.76,9.36
21A21A0578,A,A,A,B,B,A+,A+,A+,A+,A+,,9.18,8.88
21A21A0579,A,A,A,C,A+,A+,A+,A+,A+,A+,,9.29,9.21
21A21A0580,B,B,A,A,B,A+,A+,A+,A+,A+,,9.06,8.89
21A21A0581,B,B,A,B,B,A+,A+,A+,A+,A+,,8.94,8.72
21A21A0582,D,C,B,E,D,A+,A+,A+,A+,A+,,7.88,7.16
21A21A0583,B,A,A,B,A,A+,A+,A+,A+,A+,,9.18,9.03
21A21A0584,B,A+,A,B,A,A+,A+,A+,A+,A+,,9.29,9.06
21A21A0585,A,A,A,C,B,A+,A+,A+,A+,A+,,9.06,8.83
21A21A0586,D,B,B,E,B,A+,A,A,A+,A+,,8.12,7.15
21A21A0587,E,F,D,E,E,A,A,A,A+,A+,,,
